Name / Description,Src / Author
"[tut_desc name=""How to Propose a Mod"" desc=""A good mod thread will generally result in your mod being well recieved by the community."" link=""http://twhl.info/tutorial.php?id=130"" /]","[author name=""Archie"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""TUTORIAL - CONSTRUCTIVE CRITICISM"" desc=""As Artist we need to learn how to give criticism"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/192/TUTORIAL_-_CONSTRUCTIVE_CRITICISM:"" /]","[author name=""G4MER"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
