Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game"">",Src / Author
"[tut_desc name=""Basic Voice Acting"" desc=""How to get custom voices working, from start to finish."" link=""http://twhl.info/tutorial.php?id=115"" home=0 /]","[kkratings id=""409000""]",[game_multi],"[author name=""Playbus"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Recording Voice into Separate Channels"" desc=""Recording Voice into Separate Channels"" link=""http://www.the303.org/tutorials/voicerecord.html"" home=0 /]","[kkratings id=""409001""]",[game_multi],"[author name=""TheCorp303"" alt=""303"" img=""https://s5.postimg.cc/h73wmuegz/303_mini.png""]"
